frame,joint0_x,joint0_y,joint0_z,joint1_x,joint1_y,joint1_z,joint2_x,joint2_y,joint2_z,joint3_x,joint3_y,joint3_z,joint4_x,joint4_y,joint4_z,joint5_x,joint5_y,joint5_z,joint6_x,joint6_y,joint6_z,joint7_x,joint7_y,joint7_z,joint8_x,joint8_y,joint8_z,joint9_x,joint9_y,joint9_z,joint10_x,joint10_y,joint10_z,joint11_x,joint11_y,joint11_z,joint12_x,joint12_y,joint12_z,joint13_x,joint13_y,joint13_z,joint14_x,joint14_y,joint14_z,joint15_x,joint15_y,joint15_z,joint16_x,joint16_y,joint16_z,joint17_x,joint17_y,joint17_z,joint18_x,joint18_y,joint18_z,joint19_x,joint19_y,joint19_z,joint20_x,joint20_y,joint20_z,joint21_x,joint21_y,joint21_z,joint22_x,joint22_y,joint22_z,joint23_x,joint23_y,joint23_z
10,-1.2811714,-0.07776731,7.0696015,-1.2382706,0.013269797,7.120779,-1.3087248,0.010539219,7.00874,-1.3168411,-0.1778266,7.091003,-1.2852513,0.387569,7.0736756,-1.0735762,0.21656844,6.78045,-1.3304787,-0.31137848,7.0720444,-1.6640735,0.41453463,7.199197,-1.0037119,0.581532,6.928289,-1.3367634,-0.36571717,7.055213,-1.694476,0.5435721,7.1912227,-0.945585,0.6279712,6.81818,-1.4288462,-0.5578734,7.0665874,-1.335477,-0.49780196,7.1124673,-1.4545267,-0.44572777,7.0320187,-1.4175756,-0.6290397,7.0235567,-1.2748619,-0.5650633,7.1297336,-1.5220354,-0.45295405,6.96207,-1.0860088,-0.64261204,6.969088,-1.4789782,-0.40953588,6.716923,-1.3188372,-0.6478199,6.8890343,-1.4637988,-0.61177826,6.8689184,-1.3927253,-0.6863255,6.8946843,-1.5104961,-0.66845363,6.908167
11,-1.2669399,-0.0781568,7.0642405,-1.2231498,0.012654677,7.115064,-1.295681,0.010432705,7.0043473,-1.3021398,-0.17834799,7.085802,-1.2689133,0.38704735,7.067509,-1.06306,0.21896076,6.775737,-1.3160436,-0.311729,7.06586,-1.6438485,0.40536535,7.205628,-0.99522036,0.58706385,6.9165683,-1.3224021,-0.36588556,7.0484786,-1.6794447,0.53322184,7.2007074,-0.9361416,0.63194966,6.806322,-1.4143643,-0.5581412,7.0591235,-1.3203114,-0.49858373,7.104272,-1.4405179,-0.44562376,7.026155,-1.4031323,-0.62855315,7.0148597,-1.2597951,-0.5663913,7.1196437,-1.5086327,-0.4523489,6.956746,-1.0725144,-0.64536005,6.957854,-1.46272,-0.40606582,6.712644,-1.3050668,-0.64804316,6.876879,-1.4500238,-0.60668194,6.8670034,-1.3805448,-0.68298316,6.8843865,-1.4974082,-0.66266274,6.9064245
12,-1.2528913,-0.07654795,7.064654,-1.2076789,0.013438329,7.1156993,-1.2829252,0.012955472,7.0067883,-1.287748,-0.17698635,7.085614,-1.2519702,0.38825756,7.0701523,-1.0537393,0.22425309,6.777253,-1.3019686,-0.31002963,7.0637336,-1.6231482,0.40049046,7.218699,-0.9917275,0.59360856,6.917491,-1.3085873,-0.36393523,7.045682,-1.661458,0.5276079,7.2152214,-0.933423,0.63903517,6.8070545,-1.400971,-0.5560111,7.055914,-1.305989,-0.49720055,7.100085,-1.4273125,-0.4430853,7.024529,-1.3900034,-0.62581843,7.0106373,-1.2452642,-0.56512374,7.114061,-1.4962153,-0.44842803,6.9557805,-1.059863,-0.6472778,6.9516935,-1.4465454,-0.40286142,6.7122803,-1.2939562,-0.6483186,6.875247,-1.4332253,-0.6005321,6.8703427,-1.3694139,-0.68267065,6.885255,-1.4803896,-0.656864,6.9095273
13,-1.2457843,-0.076997414,7.0607357,-1.2003095,0.012822181,7.1118417,-1.275858,0.012665957,7.003139,-1.2807178,-0.17743224,7.081585,-1.2436686,0.38762566,7.06528,-1.0481682,0.22680296,6.7747493,-1.2945555,-0.31041232,7.059083,-1.6146007,0.40135887,7.2143087,-0.9893162,0.59629655,6.9159813,-1.3010604,-0.3642524,7.0407963,-1.6530674,0.5284128,7.210285,-0.9310523,0.6411496,6.8052893,-1.3929979,-0.5565343,7.0511794,-1.2979447,-0.4975838,7.09501,-1.4197125,-0.4436224,7.020061,-1.3826562,-0.62622553,7.005578,-1.2370677,-0.56542933,7.108699,-1.4887434,-0.44863647,6.9514165,-1.0533465,-0.6493367,6.945321,-1.4373068,-0.40235525,6.7084184,-1.2872682,-0.6482642,6.868352,-1.4251719,-0.59912574,6.867695,-1.3628925,-0.68237185,6.8779297,-1.4727566,-0.6557033,6.9060073
14,-1.2331983,-0.077652544,7.05888,-1.1872917,0.011900857,7.110067,-1.2635149,0.012282506,7.0018363,-1.2681301,-0.1781276,7.0795374,-1.2277235,0.38737303,7.066345,-1.0387655,0.22977486,6.773705,-1.281732,-0.31098354,7.0561748,-1.597787,0.39396113,7.2179976,-0.9896669,0.59790695,6.9220414,-1.2883196,-0.36471403,7.0375977,-1.6429427,0.51885927,7.2180367,-0.93151915,0.64747715,6.8133173,-1.3794004,-0.5575148,7.0456457,-1.2845664,-0.4987008,7.0901294,-1.4066408,-0.44433993,7.015972,-1.3679562,-0.626718,6.999567,-1.2235243,-0.56659496,7.1028037,-1.4751987,-0.4482199,6.946782,-1.0410137,-0.6499159,6.9377775,-1.415807,-0.39882684,6.706223,-1.2725344,-0.64833194,6.85387,-1.4068285,-0.5994296,6.860861,-1.3482339,-0.6822519,6.8635187,-1.4555159,-0.65656155,6.8968973
15,-1.2183132,-0.076937854,7.054572,-1.172354,0.01247181,7.1059628,-1.2487488,0.013163194,6.997855,-1.2531803,-0.17748751,7.0749745,-1.2075058,0.3885616,7.0629916,-1.0260581,0.234889,6.771789,-1.2662135,-0.31031412,7.0511265,-1.5801761,0.38947695,7.208267,-0.98479724,0.6013769,6.92645,-1.2725843,-0.3640222,7.032409,-1.6246464,0.51461774,7.2073936,-0.9282836,0.6509615,6.816874,-1.3638425,-0.55672926,7.040688,-1.2689979,-0.49792594,7.085163,-1.3909556,-0.44357926,7.0108037,-1.3516154,-0.62614715,6.9951363,-1.2079616,-0.5657811,7.098072,-1.4595568,-0.4468121,6.9416237,-1.0260847,-0.6495283,6.9325624,-1.3961251,-0.39137387,6.7034245,-1.2592537,-0.6498891,6.853336,-1.3889148,-0.59285516,6.857009,-1.3349838,-0.68307287,6.8650784,-1.4370631,-0.6506961,6.892637
16,-1.2121379,-0.07600266,7.0533733,-1.1666621,0.013222799,7.105509,-1.2428061,0.014377326,6.997228,-1.2466444,-0.17683546,7.0729756,-1.2009971,0.38960463,7.064478,-1.0211325,0.237458,6.7714963,-1.2589166,-0.30956274,7.0481887,-1.5733957,0.38589406,7.210404,-0.98107195,0.6039512,6.926459,-1.2650877,-0.36319613,7.0291924,-1.616282,0.51158947,7.210267,-0.9255551,0.6511396,6.8153267,-1.3559804,-0.5561076,7.0366945,-1.261369,-0.49724036,7.0815797,-1.3832431,-0.4429283,7.007058,-1.3441259,-0.62586236,6.9915605,-1.2005389,-0.56528354,7.0944724,-1.4516615,-0.44613963,6.937696,-1.0195351,-0.64982516,6.928411,-1.3868425,-0.3888939,6.7002993,-1.2526089,-0.64870524,6.848912,-1.3793044,-0.5906574,6.853497,-1.3286562,-0.6813547,6.8600874,-1.427567,-0.64855963,6.8888693
17,-1.2007537,-0.07534847,7.0533957,-1.1548766,0.013421699,7.105955,-1.232125,0.015540704,6.9984746,-1.2349118,-0.17642565,7.0723386,-1.1871786,0.39060402,7.071086,-1.01539,0.24241896,6.7717338,-1.2471973,-0.30907702,7.047155,-1.5578809,0.38269508,7.2211065,-0.9766329,0.60828656,6.9284964,-1.253435,-0.36278814,7.028402,-1.6026766,0.50769573,7.223708,-0.92260015,0.6561685,6.81693,-1.3434534,-0.55609894,7.0361633,-1.2490963,-0.49675053,7.0809503,-1.3712353,-0.44308,7.0063977,-1.3308469,-0.6259837,6.9914365,-1.1885097,-0.5650016,7.0938907,-1.43962,-0.44727123,6.9370546,-1.0091496,-0.6501216,6.9263477,-1.3690027,-0.38652384,6.7021956,-1.242482,-0.6511443,6.8476095,-1.3626807,-0.5924117,6.849861,-1.3178408,-0.6853416,6.85882,-1.4120508,-0.6505962,6.8831825
18,-1.1892345,-0.07415743,7.052856,-1.1428982,0.014575005,7.1050754,-1.220956,0.016759366,6.998182,-1.22332,-0.17521226,7.072047,-1.1678003,0.39220434,7.0689955,-1.0076246,0.24534643,6.7699347,-1.2358482,-0.30790526,7.047205,-1.5384812,0.37829268,7.218632,-0.9733663,0.6091553,6.9324307,-1.2424263,-0.3616839,7.0287642,-1.585903,0.502314,7.2215433,-0.92009246,0.6579216,6.820883,-1.3331711,-0.5546769,7.0359545,-1.2388479,-0.49568254,7.0812774,-1.36039,-0.44154763,7.006088,-1.3199408,-0.6241209,6.990724,-1.1787,-0.5641662,7.0950117,-1.4282099,-0.44431585,6.9361215,-0.9993008,-0.65292466,6.9294095,-1.3529578,-0.38362902,6.7026906,-1.2301576,-0.6537602,6.8436823,-1.3429596,-0.5948278,6.8424406,-1.3050792,-0.6895991,6.8524237,-1.3923593,-0.6542326,6.8734875
19,-1.1816881,-0.07373613,7.0471773,-1.1350605,0.015014932,7.099105,-1.2139711,0.017184392,6.9928393,-1.2154787,-0.17485549,7.0665493,-1.1579275,0.39265317,7.061793,-1.0037566,0.24800627,6.7639503,-1.2280428,-0.30758238,7.0419073,-1.5269777,0.378151,7.2153525,-0.9684221,0.6122782,6.9251738,-1.2345433,-0.36136132,7.02344,-1.575239,0.50182855,7.218998,-0.9165268,0.6610088,6.812962,-1.3245418,-0.554705,7.030587,-1.2303209,-0.49542212,7.075746,-1.3522656,-0.4416356,7.000959,-1.311373,-0.624181,6.985388,-1.1699414,-0.56374997,7.089237,-1.4200764,-0.4441902,6.930976,-0.9912069,-0.65230775,6.922811,-1.3446773,-0.37991798,6.698554,-1.221974,-0.6549297,6.8368783,-1.3323777,-0.5934141,6.83458,-1.2964703,-0.6916635,6.84554,-1.3811963,-0.6540019,6.8642287
